사랑해,;;,놉,?,ㅎ;,사랑하면 백 반짝 이로치 전설을 주세요!
좋아해,??????,엥
귀여워,안귀여워,안귀엽다구,안귀여운걸요
심심해,심심할땐 트레이닝! 핫둘핫둘,나도 심심해요..제보해주세요><
나 심심해,난 안심심한뎅
심시매,심시매? 교환해!
ㅠ,ㅠ
나 슬퍼,슬퍼하지마라요ㅜㅜ나도 슬퍼지자나여ㅜㅜ
슬퍼,울면 안돼요ㅜ
너 변했어,내가 모! 모!!
나빴어,흥
ㅜㅜ,왜요ㅜㅜㅜㅜㅜㅜㅜ
너 미워,미워하지말아주세요ㅜ저도 노력하고 있는걸요
미워,전 미움 받고 싶지 않아요...더 잘할게요..죄송해요ㅜㅜ
ㅑㅑㅑㅑㅑㅑㅑ,왜ㅐㅐㅐㅐㅐㅐㅐㅐㅐㅐ
왜그래?,구냥요...
왜 그래??,구냥...구냥..그러고싶었어요...
앉아,전 개가 아니에요
닥쳐,고운 말 써주세요..ㅜㅜ
배고파,배고플땐..먹는거에요. 지갑을 열어요!!
놀아줘,다 큰 어린이는 혼자 놀 줄도 알아야 돼요.
핫도그,그거 아세요? 시카고에서는 핫도그에 케찹뿌리면 절대 안된대요
뿅,뿅!
메롱,에베베베ㅔ 메롱!
휴학,레리꼬~
중간고사,레리꼬~
기말고사,중간때 했던 후회 그대로~
폰,포켓몬고 하기엔 아이폰이 더 좋아요!
소개팅,울 아빠부터 좀…구제해주세요ㅜㅜ
코딩,코딩은  프로그래밍이 아니에요. 그저 노동…
삐융삐융,삐융삐융~
시공,여역시~ 시공의 폭풍이 체ㅔㅔㅔㅔ고야!!
마파두부,마오 마파두부~
샤오룽바오,브루스리 소룡포 짱맛나요ㅜㅜ
소룡포,브루스리 소룡포 짱맛나요ㅜㅜ
숙제,놀기전에 생각했나요?
아침 먹었니?,아뇨..ㅜㅜ밥주세요ㅜㅜ
아침 먹었어?,토스트 먹었어요ㅎㅎ
